year,tmID,coachID
1,ATL,none
2,ATL,none
3,ATL,none
4,ATL,none
5,ATL,none
6,ATL,none
7,ATL,none
8,ATL,none
9,ATL,meadoma99w
10,ATL,meadoma99w
1,CHA,dunntr01wc
2,CHA,donovan99w
3,CHA,donovan99w
4,CHA,laceytr99w
5,CHA,laceytr99w
6,CHA,boguemu01w
7,CHA,boguemu01w
8,CHA,none
9,CHA,none
10,CHA,none
1,CHI,none
2,CHI,none
3,CHI,none
4,CHI,none
5,CHI,none
6,CHI,none
7,CHI,cowenda01w
8,CHI,overtbo99w
9,CHI,keyst99wc
10,CHI,keyst99wc
1,CLE,hugheda99w
2,CLE,hugheda99w
3,CLE,hugheda99w
4,CLE,hugheda99w
5,CLE,none
6,CLE,none
7,CLE,none
8,CLE,none
9,CLE,none
10,CLE,none
1,CON,none
2,CON,none
3,CON,none
4,CON,thibami99w
5,CON,thibami99w
6,CON,thibami99w
7,CON,thibami99w
8,CON,thibami99w
9,CON,thibami99w
10,CON,thibami99w
1,DET,liebena01w
2,DET,willigr99w
3,DET,laimbbi01w
4,DET,laimbbi01w
5,DET,laimbbi01w
6,DET,laimbbi01w
7,DET,laimbbi01w
8,DET,laimbbi01w
9,DET,laimbbi01w
10,DET,laimbbi01w
1,HOU,chancva99w
2,HOU,chancva99w
3,HOU,chancva99w
4,HOU,chancva99w
5,HOU,chancva99w
6,HOU,chancva99w
7,HOU,chancva99w
8,HOU,thompka99w
9,HOU,thompka99w
10,HOU,none
1,IND,donovan99w
2,IND,fortnne99w
3,IND,fortnne99w
4,IND,fortnne99w
5,IND,wintebr01w
6,IND,wintebr01w
7,IND,wintebr01w
8,IND,wintebr01w
9,IND,dunnli99wc
10,IND,dunnli99wc
1,LAS,coopemi01w
2,LAS,coopemi01w
3,LAS,coopemi01w
4,LAS,coopemi01w
5,LAS,coopemi01w
6,LAS,bibbyhe01w
7,LAS,bryanjo01w
8,LAS,coopemi01w
9,LAS,coopemi01w
10,LAS,coopemi01w
1,MIA,rothsro99w
2,MIA,rothsro99w
3,MIA,rothsro99w
4,MIA,none
5,MIA,none
6,MIA,none
7,MIA,none
8,MIA,none
9,MIA,none
10,MIA,none
1,MIN,aglerbr99w
2,MIN,aglerbr99w
3,MIN,aglerbr99w
4,MIN,mcconsu01w
5,MIN,mcconsu01w
6,MIN,mcconsu01w
7,MIN,jenkica99w
8,MIN,zierddo99w
9,MIN,zierddo99w
10,MIN,gilloje01w
1,NYL,adubari99w
2,NYL,adubari99w
3,NYL,adubari99w
4,NYL,adubari99w
5,NYL,adubari99w
6,NYL,coylepa99w
7,NYL,coylepa99w
8,NYL,coylepa99w
9,NYL,coylepa99w
10,NYL,coylepa99w
1,ORL,peckca99wc
2,ORL,peckca99wc
3,ORL,brownde01w
4,ORL,none
5,ORL,none
6,ORL,none
7,ORL,none
8,ORL,none
9,ORL,none
10,ORL,none
1,PHO,millech99w
2,PHO,coopecy01w
3,PHO,coopecy01w
4,PHO,shumajo01w
5,PHO,grafca99wc
6,PHO,grafca99wc
7,PHO,westhpa99w
8,PHO,westhpa99w
9,PHO,gaineco01w
10,PHO,gaineco01w
1,POR,hargrli99w
2,POR,hargrli99w
3,POR,hargrli99w
4,POR,none
5,POR,none
6,POR,none
7,POR,none
8,POR,none
9,POR,none
10,POR,none
1,SAC,allenso99w
2,SAC,allenso99w
3,SAC,mchugma99w
4,SAC,mchugma99w
5,SAC,whisejo99w
6,SAC,whisejo99w
7,SAC,whisejo99w
8,SAC,bouceje01w
9,SAC,bouceje01w
10,SAC,bouceje01w
1,SAS,none
2,SAS,none
3,SAS,none
4,SAS,dailesh99w
5,SAS,brownde01w
6,SAS,hugheda99w
7,SAS,hugheda99w
8,SAS,hugheda99w
9,SAS,hugheda99w
10,SAS,hugheda99w
1,SEA,dunnli99wc
2,SEA,dunnli99wc
3,SEA,dunnli99wc
4,SEA,donovan99w
5,SEA,donovan99w
6,SEA,donovan99w
7,SEA,donovan99w
8,SEA,donovan99w
9,SEA,aglerbr99w
10,SEA,aglerbr99w
1,UTA,willifr99w
2,UTA,harveca99w
3,UTA,harveca99w
4,UTA,none
5,UTA,none
6,UTA,none
7,UTA,none
8,UTA,none
9,UTA,none
10,UTA,none
1,WAS,darscna99w
2,WAS,maherto99w
3,WAS,stanlma99w
4,WAS,stanlma99w
5,WAS,adamsmi01w
6,WAS,adubari99w
7,WAS,adubari99w
8,WAS,adubari99w
9,WAS,kenlaje99w
10,WAS,plankju99w
